Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
436,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
437,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
438,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
439,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
440,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
441,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
442,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
448,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
449,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
450,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
451,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
452,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
453,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
454,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
460,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
461,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
462,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
463,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
464,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
465,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
466,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
472,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
